title,link,published,summary,content,source
Charlie Kirk death: Illinois lawmakers share security concerns in wake of shooting of Chicago-native Turning Point USA founder - ABC7 Chicago,https://news.google.com/rss/articles/CBMi6wFBVV95cUxPNWVkcVNRR0tQSGhhY1Y5VDlWQ3A4ckMwWGJhb0NjWjdmZGZGa1lmMWZWMU1MUk94T0pqSmxfdndXSkQ1RkpvUVhqa08yRV9zYlNMTjR4a3h0V0g3aG9PWHRhYngyQXQ0alVGVlFCeHpKS1M3SjNRa19JaE9HVFpXcTk4RHR3ekY0Qnlsd2xDU1FzNnRUeG9zYS1ZWDY5S2NHWlJWVXM1OVFzVzl2bDhwU3J0LS1ma1NVbG00eXYteWh2UHFjTDhObWsxQkk1TkFSN2JrbTlNRVMyeVdUZlRYVE5MT3F4UXhselZJ0gHwAUFVX3lxTE1BUWljbVVaSVZ0eW1ZYV9ZbTF2dExUYjVCNHZTYl91RXpzbTZTRThLQkFrbm5nRm00UjlMZTRXOWMwenA2NUY5Q2czZ0ZBbHlYVFhtWmw5NHRXSnFWNURrdFF6WGpPSTBUNDZJQTBOWFNEZkhyYzhmTU9ISmxSV1U5RFVSbXFweXd6Z1hIdFpBNFpLQUcwVkxWWjJqOWUwa0NBMWlLSGxxdU15TDQyLW5RTnZhRVNzYlloSnVLN0hJR0J4SThGYVZRV3lTVmxmNjRzcm1JcUV3T3MwQ2t6QVVvc3dxMFZzVzJqbnZUaU50Sg?oc=5,"Fri, 12 Sep 2025 22:07:30 GMT","<a href=""https://news.google.com/rss/articles/CBMi6wFBVV95cUxPNWVkcVNRR0tQSGhhY1Y5VDlWQ3A4ckMwWGJhb0NjWjdmZGZGa1lmMWZWMU1MUk94T0pqSmxfdndXSkQ1RkpvUVhqa08yRV9zYlNMTjR4a3h0V0g3aG9PWHRhYngyQXQ0alVGVlFCeHpKS1M3SjNRa19JaE9HVFpXcTk4RHR3ekY0Qnlsd2xDU1FzNnRUeG9zYS1ZWDY5S2NHWlJWVXM1OVFzVzl2bDhwU3J0LS1ma1NVbG00eXYteWh2UHFjTDhObWsxQkk1TkFSN2JrbTlNRVMyeVdUZlRYVE5MT3F4UXhselZJ0gHwAUFVX3lxTE1BUWljbVVaSVZ0eW1ZYV9ZbTF2dExUYjVCNHZTYl91RXpzbTZTRThLQkFrbm5nRm00UjlMZTRXOWMwenA2NUY5Q2czZ0ZBbHlYVFhtWmw5NHRXSnFWNURrdFF6WGpPSTBUNDZJQTBOWFNEZkhyYzhmTU9ISmxSV1U5RFVSbXFweXd6Z1hIdFpBNFpLQUcwVkxWWjJqOWUwa0NBMWlLSGxxdU15TDQyLW5RTnZhRVNzYlloSnVLN0hJR0J4SThGYVZRV3lTVmxmNjRzcm1JcUV3T3MwQ2t6QVVvc3dxMFZzVzJqbnZUaU50Sg?oc=5"" target=""_blank"">Charlie Kirk death: Illinois lawmakers share security concerns in wake of shooting of Chicago-native Turning Point USA founder</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ABC7 Chicago</font>",,RSS Feed
VICTORY FOR GUN SAFETY: Illinois Legislature Passes the Homicide Data Transparency Act - Everytown,https://news.google.com/rss/articles/CBMiugFBVV95cUxQRUwyX2dZZkVJZGVyTm5RcEd0bGJ0TGxac3dqazZMZ1JobmdQTy0wcG5CS3lXOG01WGR3b2VsM1Qtc254S2pJeHAxUnc5dkY1TnRqcl9YU2RaLTFrRU1mbWpZR2tjd2ZsbWNJTkhkaHF5RUVpNjRpNUN1UTJ6cHoyaklFUU4wVllqaVdpTFptOHRvVEZFd3pOZDlYX1ZBdmlSUF91RldKU2w0UFYzd0pZdHdLNGpiSnlkTlE?oc=5,"Fri, 23 May 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiugFBVV95cUxQRUwyX2dZZkVJZGVyTm5RcEd0bGJ0TGxac3dqazZMZ1JobmdQTy0wcG5CS3lXOG01WGR3b2VsM1Qtc254S2pJeHAxUnc5dkY1TnRqcl9YU2RaLTFrRU1mbWpZR2tjd2ZsbWNJTkhkaHF5RUVpNjRpNUN1UTJ6cHoyaklFUU4wVllqaVdpTFptOHRvVEZFd3pOZDlYX1ZBdmlSUF91RldKU2w0UFYzd0pZdHdLNGpiSnlkTlE?oc=5"" target=""_blank"">VICTORY FOR GUN SAFETY: Illinois Legislature Passes the Homicide Data Transparency Act</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Everytown</font>",,RSS Feed
Illinois has a new tool to track violence - Northwestern Now News,https://news.google.com/rss/articles/CBMivwFBVV95cUxNcGk5cWtMVWlhangtVEE0dThkLWxORG52bFRhUFNoMlFOMDlRNElUdElnOGd4cUptc1JlY0tfSVRVVTJ4NzctdE94eWd1TEM2N2tYY2pjaDNSVnN2TC1jWGw0MFFiNFZuMzVlMHVNekVoSW9EU19sM0NDOGs5WjZkeHBJVl9DSjFHeFdUdjk4X1lITXRTTTNJSTlKVWZBczZxdFFibWpqNlpqVHgyZkgwTUpYUnVrRlVwVkhtanlLQQ?oc=5,"Mon, 27 Jan 2025 08:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMivwFBVV95cUxNcGk5cWtMVWlhangtVEE0dThkLWxORG52bFRhUFNoMlFOMDlRNElUdElnOGd4cUptc1JlY0tfSVRVVTJ4NzctdE94eWd1TEM2N2tYY2pjaDNSVnN2TC1jWGw0MFFiNFZuMzVlMHVNekVoSW9EU19sM0NDOGs5WjZkeHBJVl9DSjFHeFdUdjk4X1lITXRTTTNJSTlKVWZBczZxdFFibWpqNlpqVHgyZkgwTUpYUnVrRlVwVkhtanlLQQ?oc=5"" target=""_blank"">Illinois has a new tool to track violence</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Northwestern Now News</font>",,RSS Feed
"Pritzker signs bills addressing gun storage, tracing of firearms - Capitol News Illinois",https://news.google.com/rss/articles/CBMiowFBVV95cUxObUJXTlgxMGM4eWtvR1l6ZFVEaHlGMUVLNWZudTNWM0cwbENFZ1RJRnR6cGlDQ2lfSlpxeGxwRDgyY3JkVndWcjZUY2lTMjRUNV9haHdmVUFPVnlyNGVIczhHYjU5OUswZld5MUdjUURsRG44ZlFHclFfMHNFSThpVXM5dG9EV3RadjN5NXdTS3BEUjZKYmJjT3Z2dXNLdWRBS3Nr0gGoAUFVX3lxTE9lWnBTZzZpbk51dmwwQlhDRDNJc2YzYTVrTkZZUkVaWmpkMTh2b1dqQXhYMGxTWlNBb3Z2clhGeExMbEdkVXllcGNHSFVUa3V6anZKdWw5ejQ5WloyZDRxWkV5eFBxRlhaYmVpVFQxblJXWkJVTFN0NmZXZTFWdWc5SGNJOWViLURabDAwRVRFelk3d2tsZGdlbEhNM0xPRVQ0a1pudm5iZw?oc=5,"Mon, 28 Jul 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiowFBVV95cUxObUJXTlgxMGM4eWtvR1l6ZFVEaHlGMUVLNWZudTNWM0cwbENFZ1RJRnR6cGlDQ2lfSlpxeGxwRDgyY3JkVndWcjZUY2lTMjRUNV9haHdmVUFPVnlyNGVIczhHYjU5OUswZld5MUdjUURsRG44ZlFHclFfMHNFSThpVXM5dG9EV3RadjN5NXdTS3BEUjZKYmJjT3Z2dXNLdWRBS3Nr0gGoAUFVX3lxTE9lWnBTZzZpbk51dmwwQlhDRDNJc2YzYTVrTkZZUkVaWmpkMTh2b1dqQXhYMGxTWlNBb3Z2clhGeExMbEdkVXllcGNHSFVUa3V6anZKdWw5ejQ5WloyZDRxWkV5eFBxRlhaYmVpVFQxblJXWkJVTFN0NmZXZTFWdWc5SGNJOWViLURabDAwRVRFelk3d2tsZGdlbEhNM0xPRVQ0a1pudm5iZw?oc=5"" target=""_blank"">Pritzker signs bills addressing gun storage, tracing of firearms</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Capitol News Illinois</font>",,RSS Feed
New Illinois gun laws: What will change after Pritzker signs 2 bills into law - NBC 5 Chicago,https://news.google.com/rss/articles/CBMi1wFBVV95cUxNTnAzTVNMVEtvZEh6REZVUWQ0Rld4NGVWZkl4NzEzc0xDVmhreDRhc1dNTm1rOHc4OE9vcFNET25sdzJKLXJPQVZxcGZUMFFBOVlIZ1ZDX0R0U1JoNTV3MjlnT19hZ19Td2tLdXFyQzVqZl90ZFF6eXQzeGJqLWI2WUh3MlRMX0pTSmZXYmNxTlBrcUxiclY3aVhTOUh4MDhzV0p6SkYxTG1DQjhFbldCTlhvTkVvWWlhYjBXdUxfZHo2bXU1Z0VzdUppVlVrSEFMTGV3NG9xRdIB3wFBVV95cUxNM2duOTFoUm91OVRQYkR3NEpUZ3ltMENlSndmdmdYLUZLWkg5aE5fUlF2T1lmQUM3Q1FuRUlaLWl5UjR3YWc4bS1wcDhQVl94OXVfWlYteFFBcXpkYlhPbmVWSXFYekVYOTJqeGNIdkNqRW9SVDUwVlNYcGlRZ2Z4TzQydi01NkJiOE1OdExrRGxKZzdhZXZ5VFpjWGcwSDJ4V0xoaXBfSk5jdF9MLXhOaThWTWRIaHNKTnVzQUdRUW9EU1RPWVRWUjhmOEs5U2M1SlhmakpuUFRmYUdoN1N3?oc=5,"Tue, 29 Jul 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxNTnAzTVNMVEtvZEh6REZVUWQ0Rld4NGVWZkl4NzEzc0xDVmhreDRhc1dNTm1rOHc4OE9vcFNET25sdzJKLXJPQVZxcGZUMFFBOVlIZ1ZDX0R0U1JoNTV3MjlnT19hZ19Td2tLdXFyQzVqZl90ZFF6eXQzeGJqLWI2WUh3MlRMX0pTSmZXYmNxTlBrcUxiclY3aVhTOUh4MDhzV0p6SkYxTG1DQjhFbldCTlhvTkVvWWlhYjBXdUxfZHo2bXU1Z0VzdUppVlVrSEFMTGV3NG9xRdIB3wFBVV95cUxNM2duOTFoUm91OVRQYkR3NEpUZ3ltMENlSndmdmdYLUZLWkg5aE5fUlF2T1lmQUM3Q1FuRUlaLWl5UjR3YWc4bS1wcDhQVl94OXVfWlYteFFBcXpkYlhPbmVWSXFYekVYOTJqeGNIdkNqRW9SVDUwVlNYcGlRZ2Z4TzQydi01NkJiOE1OdExrRGxKZzdhZXZ5VFpjWGcwSDJ4V0xoaXBfSk5jdF9MLXhOaThWTWRIaHNKTnVzQUdRUW9EU1RPWVRWUjhmOEs5U2M1SlhmakpuUFRmYUdoN1N3?oc=5"" target=""_blank"">New Illinois gun laws: What will change after Pritzker signs 2 bills into law</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NBC 5 Chicago</font>",,RSS Feed
Illinois gun laws: Governor JB Pritzker signs bill aimed at protecting children from accidental shootings in their homes - ABC7 Chicago,https://news.google.com/rss/articles/CBMipwFBVV95cUxNN3RjbUp1VW9iVGFtNlZydkV4NXlxSE5TRkN6ZTM0Ny11ZUt0a3ozdmlydHAtaTF1WVJUS3ZOdlNEcWt0alYxWEs4cjNEbFQ4RFRqMFgyUDBORHlpNmdrdWFEaGFlRzRsZzdjbjc4V25zbFNmY1pXcGRXWDNrbmc2OGNPNGdUTFJxRDBuUTFVWlZqQV9ZQlp6VmYxMFg2S05uSWI0clBqWdIBrAFBVV95cUxQZ28xaG9NeFFmY2Z0YjdMV1NrUG9WNTF4ajZhbU1yRFpQWTNrLVRFdzdlOEpVbkhIQ3dvNXJjWHZHbkgwa3RHUncweUdSbWNVSkZ5UU1LN09EVkZncVVraVMydE1tbThYdThSWXRseTBXMnE1bjdPV3pZNEhhVGFwR004bkpsamptcmhVX1dKV2I2b0JFWG1fNlNyYm5ZV3dDZ014Rnh2dGlHMFpk?oc=5,"Mon, 28 Jul 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMipwFBVV95cUxNN3RjbUp1VW9iVGFtNlZydkV4NXlxSE5TRkN6ZTM0Ny11ZUt0a3ozdmlydHAtaTF1WVJUS3ZOdlNEcWt0alYxWEs4cjNEbFQ4RFRqMFgyUDBORHlpNmdrdWFEaGFlRzRsZzdjbjc4V25zbFNmY1pXcGRXWDNrbmc2OGNPNGdUTFJxRDBuUTFVWlZqQV9ZQlp6VmYxMFg2S05uSWI0clBqWdIBrAFBVV95cUxQZ28xaG9NeFFmY2Z0YjdMV1NrUG9WNTF4ajZhbU1yRFpQWTNrLVRFdzdlOEpVbkhIQ3dvNXJjWHZHbkgwa3RHUncweUdSbWNVSkZ5UU1LN09EVkZncVVraVMydE1tbThYdThSWXRseTBXMnE1bjdPV3pZNEhhVGFwR004bkpsamptcmhVX1dKV2I2b0JFWG1fNlNyYm5ZV3dDZ014Rnh2dGlHMFpk?oc=5"" target=""_blank"">Illinois gun laws: Governor JB Pritzker signs bill aimed at protecting children from accidental shootings in their homes</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ABC7 Chicago</font>",,RSS Feed
Illinois Gov. JB Pritzker signs 2 gun safety laws as officials weigh in on drop in crime in Chicago - cbsnews.com,https://news.google.com/rss/articles/CBMimwFBVV95cUxPT2ZvNWFqd2liWEdpLUh3ajZUMHp0WkJJd0NPOXpEZzNXdWFic2RTNlI5eWtQalVRNExSOTNmUjhqSkdXZzktMk5jRkcxSEdJdWtHYzVFZGt4bmJ3bmg2UzQta21yRkVsQXVKMlZ5RXpMQ2ZuaUdoU2FlNlZQazJ6S2dHYlJwQXFTb1FScllkZjd2emExVk0xMHo2MA?oc=5,"Mon, 28 Jul 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMimwFBVV95cUxPT2ZvNWFqd2liWEdpLUh3ajZUMHp0WkJJd0NPOXpEZzNXdWFic2RTNlI5eWtQalVRNExSOTNmUjhqSkdXZzktMk5jRkcxSEdJdWtHYzVFZGt4bmJ3bmg2UzQta21yRkVsQXVKMlZ5RXpMQ2ZuaUdoU2FlNlZQazJ6S2dHYlJwQXFTb1FScllkZjd2emExVk0xMHo2MA?oc=5"" target=""_blank"">Illinois Gov. JB Pritzker signs 2 gun safety laws as officials weigh in on drop in crime in Chicago</a>&nbsp;&nbsp;<font color=""#6f6f6f"">cbsnews.com</font>",,RSS Feed
Illinois gun rights group asks U.S. Attorney General to review state’s gun laws - The Center Square,https://news.google.com/rss/articles/CBMilAFBVV95cUxObUhhUGY0RXlpQWpoRnVBY1d5SDQxdHJpX1A1enljMC03czlKQUpiX3RuYXBTMFBzTTNPcjE1Wk0yajNVcmxZTlpmOGo4VXVUdXU3YUZyWXpuQzJZU1I2bkxEYlNkWFhPX3pvZjNvTWZmWEd0Vlhic2haX1hFdmtPd3dWeVpROWxQN29kX215YUJrSDVZ0gGaAUFVX3lxTE5yTE9JMTJlNGwzekdKV2daZl9ubDVHdnEwOTlaR0xTM0w0X05VdGNkUmFJZTdvalRrWU9qbTU0Yk96cWhOTTVIa0dYY0FOaFZPc0k1bWlZYllZM2duQXZobGpkdWxWcG14TkhTUF9XRDhCTmhvYjRfZm05ZkVNVWw4c2pTRlRmXzdsMU02WFZjZm9rT19xZmdHZFE?oc=5,"Tue, 01 Apr 2025 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMilAFBVV95cUxObUhhUGY0RXlpQWpoRnVBY1d5SDQxdHJpX1A1enljMC03czlKQUpiX3RuYXBTMFBzTTNPcjE1Wk0yajNVcmxZTlpmOGo4VXVUdXU3YUZyWXpuQzJZU1I2bkxEYlNkWFhPX3pvZjNvTWZmWEd0Vlhic2haX1hFdmtPd3dWeVpROWxQN29kX215YUJrSDVZ0gGaAUFVX3lxTE5yTE9JMTJlNGwzekdKV2daZl9ubDVHdnEwOTlaR0xTM0w0X05VdGNkUmFJZTdvalRrWU9qbTU0Yk96cWhOTTVIa0dYY0FOaFZPc0k1bWlZYllZM2duQXZobGpkdWxWcG14TkhTUF9XRDhCTmhvYjRfZm05ZkVNVWw4c2pTRlRmXzdsMU02WFZjZm9rT19xZmdHZFE?oc=5"" target=""_blank"">Illinois gun rights group asks U.S. Attorney General to review state’s gun laws</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Center Square</font>",,RSS Feed
"ICE agent shoots, kills man in Franklin Park, Illinois, after suspect tries to drive into agents, DHS says - cbsnews.com",https://news.google.com/rss/articles/CBMifkFVX3lxTFBxLWxoT1pNSXpPUVgteDU4OTlQTHhLZWQ3cmZZbjJpTkRMN3d6aFJkbklSejFFSmJjVGNjVHBxX055ckNWc0dDbHZQQ3JHbjlBZDlHWWdXN0VSUnJmZ1Z6YWhCTlk0ZjlyMFF2TkQ4SFNJbHhUNG5QR2pCUURfQQ?oc=5,"Fri, 12 Sep 2025 16:59:00 GMT","<ol><li><a href=""https://news.google.com/rss/articles/CBMifkFVX3lxTFBxLWxoT1pNSXpPUVgteDU4OTlQTHhLZWQ3cmZZbjJpTkRMN3d6aFJkbklSejFFSmJjVGNjVHBxX055ckNWc0dDbHZQQ3JHbjlBZDlHWWdXN0VSUnJmZ1Z6YWhCTlk0ZjlyMFF2TkQ4SFNJbHhUNG5QR2pCUURfQQ?oc=5"" target=""_blank"">ICE agent shoots, kills man in Franklin Park, Illinois, after suspect tries to drive into agents, DHS says</a>&nbsp;&nbsp;<font color=""#6f6f6f"">cbsnews.com</font></li><li><a href=""https://news.google.com/rss/articles/CBMiyAFBVV95cUxOalNWUjBiS0lJREg5X1lmR2N1Ti1ibXk5RVVobWdzNG5xWHZHcFNZdXJNTDZtbERoNmJRazhBR29SV0RrRm5fSzF2cl82SmdYOElkRlliV1lrSE5oYTRPUUllQTFNSW1ZOF9Fb29Qb1N0eHVmTEdCcVBibXI3eVYteU5LVG91Wi12ejZRVlRpWmdMUFVUci14QzdEOGJjcV95SWZndkdhZkFWeTZIMUdRX3pCd2c1OVhGLURabVZlV3NBYWExNFZYbdIBzgFBVV95cUxPS3RoZjNXMkJCamZlZ18zbnNVLWZVLVdjdnNmTU5VWjJVcGxubE9hY002dlMwa2YyQ3p5b21yR2dma053R2hRWEZWUjNvTkZYYjBkUUZqRUNBUlJxZHpXbXlPSk1UeWZLZjJtejdWaGdLWmRkSTU2LXBBYUJoZ184empVdXJNX091RzVXVTdZc1VBVTh4dUNjcnBMZW0tbjNyVW9YYk9HaXI2czY2Q2pfTDFKWGtnazFiZFJUQUE4UXRzY2FXNDg5SUFrODY1QQ?oc=5"" target=""_blank"">ICE shooting in Franklin Park, Illinois kills Silverio Villegas-Gonzalez, who DHS says dragged officer with car near 25th, Grand</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ABC7 Chicago</font></li><li><a href=""https://news.google.com/rss/articles/CBMingFBVV95cUxPWVdCck1LOUxnV1YxdkpOOFAwTTUtQWV1dFpNVldFNkFKU1RFZ0VmaGZUWVF1T00zek02dXFGbU5GU3o4X3NCWC1Udl9vaUJSZWdaNy1nSGYtYWVoYmpFdDZwRGdfLWJOY1g5OHVoTUxEVmF6N2toR1VsWEhUdDhSUTRCZnEwSDluT05neGZ6a19fQVR0eXpVQnNfUXhCQQ?oc=5"" target=""_blank"">Undocumented father killed by ICE agent in Franklin Park shooting had no criminal background, lawyer says</a>&nbsp;&nbsp;<font color=""#6f6f6f"">cbsnews.com</font></li></ol>",,RSS Feed
Illinois Democrats call for investigation into fatal shooting of Franklin Park man by ICE agent - Chicago Tribune,https://news.google.com/rss/articles/CBMikgFBVV95cUxOSHN5UVAwMG40WEcwSXpCbWJuYnJ6UlRBQzRERkdOelh2S1VOVTZDcXE1bWtUbHNFXzR3TGJmYk5TM1BmRWU1SEZzM1gxMEpqb2FpNDFLY2pnWF90aHNqLTJ1bGZWbzR4WlUtWVROY01ZbG1KZldJWHBpVEl2bzFlUG9ramFUTVFvOTVib1NCVnk1Zw?oc=5,"Sat, 13 Sep 2025 02:51:03 GMT","<a href=""https://news.google.com/rss/articles/CBMikgFBVV95cUxOSHN5UVAwMG40WEcwSXpCbWJuYnJ6UlRBQzRERkdOelh2S1VOVTZDcXE1bWtUbHNFXzR3TGJmYk5TM1BmRWU1SEZzM1gxMEpqb2FpNDFLY2pnWF90aHNqLTJ1bGZWbzR4WlUtWVROY01ZbG1KZldJWHBpVEl2bzFlUG9ramFUTVFvOTVib1NCVnk1Zw?oc=5"" target=""_blank"">Illinois Democrats call for investigation into fatal shooting of Franklin Park man by ICE agent</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Chicago Tribune</font>",,RSS Feed
